top_down,top_down_subsets,binary_search
16,28,79
22,60,55
23,43,57
28,31,58
26,50,54
30,79,34
36,97,65
28,48,57
26,40,61
32,73,32
14,31,72
26,31,58
25,47,55
28,42,59
29,50,57
36,54,35
13,31,74
23,60,54
32,61,33
27,31,60
23,46,54
35,69,33
32,65,31
26,37,57
24,46,55
26,42,57
31,63,33
25,35,58
15,31,74
37,69,32
25,42,56
30,48,60
23,56,54
40,52,36
13,21,78
31,70,30
26,60,59
13,23,78
25,36,54
25,29,56
24,35,57
31,57,31
24,53,59
33,69,31
26,19,57
23,60,55
33,69,32
25,28,56
23,45,56
24,31,60
29,48,54
13,24,73
24,49,54
25,59,55
33,53,34
26,50,55
23,43,56
26,48,58
13,21,72
33,61,33
25,30,56
34,47,34
25,40,56
23,49,60
33,53,40
27,22,60
24,46,54
24,50,55
33,52,34
30,65,31
23,32,59
34,45,33
22,70,58
24,47,55
32,71,29
24,39,59
23,46,54
30,98,29
39,59,30
37,68,32
22,42,56
24,32,57
25,56,53
31,113,64
34,50,33
23,28,58
30,40,57
32,72,30
33,50,31
13,27,70
14,21,72
16,34,83
14,29,70
33,66,34
25,39,57
25,31,60
25,37,58
30,81,31
24,47,54
23,29,59
