top_down,top_down_subsets,binary_search
1,0,10
0,0,8
0,0,7
0,0,8
1,0,9
1,0,9
2,0,11
4,2,18
0,0,7
0,0,7
1,0,9
0,0,9
0,0,7
0,0,7
1,0,7
1,0,9
0,0,8
0,0,9
0,0,8
0,0,7
0,0,10
3,1,12
0,0,7
0,0,9
0,1,9
0,0,9
0,0,8
0,0,7
0,0,8
2,0,9
0,0,8
0,0,7
2,0,9
0,0,8
0,1,9
0,1,9
0,0,7
0,0,9
0,0,7
0,0,10
0,1,9
0,0,8
0,0,8
0,0,12
1,1,11
1,0,8
2,0,12
0,0,8
0,0,8
2,1,13
0,0,10
0,0,8
2,0,12
0,0,8
0,0,10
0,0,8
0,0,11
0,0,9
1,0,8
0,0,9
1,0,10
0,0,9
0,0,11
2,1,10
0,0,8
2,1,9
0,0,10
0,0,8
1,0,10
0,0,8
0,0,8
0,0,11
0,1,9
0,0,13
0,0,8
0,0,11
0,0,7
0,0,8
0,0,8
0,0,7
0,0,9
0,0,8
4,1,20
0,0,8
0,0,7
0,0,7
0,0,8
0,0,9
0,0,8
2,1,9
0,0,8
0,0,8
0,0,9
0,0,7
0,0,7
0,0,8
0,0,11
0,1,8
0,0,7
0,0,6
